IMG_ID,AUTHOR,LAT,LON,S3_Label,S16_Label,S365_Label,Prob_indoor,Prob_natural,Prob_urban,candidate_0_gps,candidate_1_gps,candidate_2_gps,candidate_3_gps,candidate_4_gps,candidate_5_gps,candidate_6_gps,candidate_7_gps,candidate_8_gps,candidate_9_gps,candidate_10_gps,candidate_11_gps,candidate_12_gps,candidate_13_gps,candidate_14_gps,candidate_15_gps,candidate_16_gps,candidate_17_gps,candidate_18_gps,candidate_19_gps,reverse_0_gps,reverse_1_gps,reverse_2_gps,reverse_3_gps,reverse_4_gps,reverse_5_gps,reverse_6_gps,reverse_7_gps,reverse_8_gps,reverse_9_gps,reverse_10_gps,reverse_11_gps,reverse_12_gps,reverse_13_gps,reverse_14_gps,reverse_15_gps,reverse_16_gps,reverse_17_gps,reverse_18_gps,reverse_19_gps
103558896_55f8059bc9_35_73293249@N00.jpg,73293249@N00,43.642423,-79.387153,2,15,307,4.732878279864114e-06,8.344243990691252e-05,0.9999118898451004,"[44.661571, -110.959854]","[47.798396, -4.373931]","[8.241901, -13.163028]","[35.69371, 139.70245]","[49.231779, -121.755208]","[40.415709, -3.706802]","[30.503045, -81.449444]","[-12.978375, -38.507981]","[36.501115, -4.80566]","[-37.810833, 144.967331]","[22.904403, 121.124181]","[44.728686, 38.479442]","[49.858805, 7.827157]","[51.304672, 6.755764]","[40.744116, -73.989992]","[43.743119, -81.711212]","[43.772875, 11.256018]","[48.853025, 2.349872]","[3.855348, -73.635864]","[32.730649, -117.158954]","[44.661571, -110.959854]","[47.798396, -4.373931]","[8.241901, -13.163028]","[35.69371, 139.70245]","[49.231779, -121.755208]","[40.415709, -3.706802]","[30.503045, -81.449444]","[-12.978375, -38.507981]","[36.501115, -4.80566]","[-37.810833, 144.967331]","[22.904403, 121.124181]","[44.728686, 38.479442]","[49.858805, 7.827157]","[51.304672, 6.755764]","[40.744116, -73.989992]","[43.743119, -81.711212]","[43.772875, 11.256018]","[48.853025, 2.349872]","[3.855348, -73.635864]","[32.730649, -117.158954]"
103574519_62331b624f_24_73293249@N00.jpg,73293249@N00,43.642423,-79.387153,2,15,307,0.0004998543084122,0.000465198078162,0.9990348718431594,"[51.73831, 0.462648]","[52.6961, 1.695671]","[29.040813, -81.996931]","[35.676367, 139.699273]","[29.947256, -90.06536]","[43.165106, -88.090224]","[59.953645, 11.044478]","[11.23498, -74.217681]","[43.611564, 3.875899]","[52.501489, -1.114253]","[40.429439, -3.710632]","[51.434831, 6.133257]","[24.175817, 120.716464]","[48.309876, 14.275719]","[59.39714, 17.94509]","[53.013918, -6.158995]","[39.869049, -75.672126]","[49.843351, 8.695077]","[35.237101, -82.729969]","[1.392618, 103.978085]","[51.73831, 0.462648]","[52.6961, 1.695671]","[29.040813, -81.996931]","[35.676367, 139.699273]","[29.947256, -90.06536]","[43.165106, -88.090224]","[59.953645, 11.044478]","[11.23498, -74.217681]","[43.611564, 3.875899]","[52.501489, -1.114253]","[40.429439, -3.710632]","[51.434831, 6.133257]","[24.175817, 120.716464]","[48.309876, 14.275719]","[59.39714, 17.94509]","[53.013918, -6.158995]","[39.869049, -75.672126]","[49.843351, 8.695077]","[35.237101, -82.729969]","[1.392618, 103.978085]"
103575522_cc6a522170_34_73293249@N00.jpg,73293249@N00,43.642423,-79.387153,2,12,314,0.0637743782377349,0.0064615613592486,0.9297640654987324,"[9.154016, -83.750173]","[51.537502, -0.061056]","[51.511661, -0.116203]","[45.485353, 12.417817]","[51.343266, 12.382503]","[20.623466, -103.241722]","[-43.109505, 147.858123]","[52.507778, 13.375779]","[58.501702, 24.930127]","[42.736169, -6.282119]","[52.6961, 1.695671]","[49.843351, 8.695077]","[41.908018, -91.793421]","[31.370109, 120.966553]","[28.037478, -82.420098]","[29.947256, -90.06536]","[34.994319, 135.785458]","[43.98951, -88.555212]","[37.776335, -122.418051]","[48.859548, 2.348743]","[9.154016, -83.750173]","[51.537502, -0.061056]","[51.511661, -0.116203]","[45.485353, 12.417817]","[51.343266, 12.382503]","[20.623466, -103.241722]","[-43.109505, 147.858123]","[52.507778, 13.375779]","[58.501702, 24.930127]","[42.736169, -6.282119]","[52.6961, 1.695671]","[49.843351, 8.695077]","[41.908018, -91.793421]","[31.370109, 120.966553]","[28.037478, -82.420098]","[29.947256, -90.06536]","[34.994319, 135.785458]","[43.98951, -88.555212]","[37.776335, -122.418051]","[48.859548, 2.348743]"
103577701_b68e15492e_32_73293249@N00.jpg,73293249@N00,43.085294,-79.079509,2,10,171,0.0295091659931685,0.1057755970604148,0.8647152329295196,"[42.671392, 11.559505]","[43.387584, 16.486358]","[53.655861, 9.964472]","[41.596, 2.541333]","[38.875457, -77.088028]","[38.888122, -77.013055]","[43.085366, -89.361682]","[56.035489, -3.49451]","[55.23284, 14.879093]","[55.675533, 12.583872]","[42.369945, -71.104502]","[48.636184, -1.51165]","[46.600013, -111.984992]","[-33.878759, 151.20029]","[54.312911, 8.594313]","[54.890327, 23.914533]","[39.855666, -4.028077]","[-33.211888, 151.535689]","[41.905891, 12.482453]","[47.413981, 9.251164]","[42.671392, 11.559505]","[43.387584, 16.486358]","[53.655861, 9.964472]","[41.596, 2.541333]","[38.875457, -77.088028]","[38.888122, -77.013055]","[43.085366, -89.361682]","[56.035489, -3.49451]","[55.23284, 14.879093]","[55.675533, 12.583872]","[42.369945, -71.104502]","[48.636184, -1.51165]","[46.600013, -111.984992]","[-33.878759, 151.20029]","[54.312911, 8.594313]","[54.890327, 23.914533]","[39.855666, -4.028077]","[-33.211888, 151.535689]","[41.905891, 12.482453]","[47.413981, 9.251164]"
103726410_49bcd2e470_33_73293249@N00.jpg,73293249@N00,40.711492,-74.01206,2,12,316,0.2317186298473643,0.0327120087096801,0.7355693548742721,"[39.688505, -77.04949]","[37.335313, -121.867936]","[56.05678, 37.845261]","[-23.767289, -46.288683]","[39.438496, -76.899726]","[49.271682, -123.065671]","[55.822321, 37.387182]","[-34.570038, -58.411538]","[46.035422, 8.965229]","[43.598415, -83.877716]","[40.290427, -76.659078]","[52.629396, -2.451109]","[-33.413644, -70.648334]","[1.396833, 103.887666]","[37.794599, -122.269785]","[51.546641, -0.098866]","[36.989802, -121.925067]","[54.969811, -1.599186]","[38.613333, -90.314833]","[47.203126, -122.536354]","[39.688505, -77.04949]","[37.335313, -121.867936]","[56.05678, 37.845261]","[-23.767289, -46.288683]","[39.438496, -76.899726]","[49.271682, -123.065671]","[55.822321, 37.387182]","[-34.570038, -58.411538]","[46.035422, 8.965229]","[43.598415, -83.877716]","[40.290427, -76.659078]","[52.629396, -2.451109]","[-33.413644, -70.648334]","[1.396833, 103.887666]","[37.794599, -122.269785]","[51.546641, -0.098866]","[36.989802, -121.925067]","[54.969811, -1.599186]","[38.613333, -90.314833]","[47.203126, -122.536354]"
1038069722_cab11140a5_1378_75452460@N00.jpg,75452460@N00,48.214093,16.935553,2,11,252,0.0018469149886755,0.0068876575334115,0.9912653801991952,"[44.703458, 10.630044]","[45.522726, -122.670697]","[50.766865, 0.289077]","[38.70224, -9.165515]","[-40.863679, 174.111328]","[43.77958, 11.238369]","[40.40615, -3.699973]","[59.728001, 17.798967]","[42.537429, 12.619771]","[45.77782, 126.563529]","[43.073772, -89.385017]","[36.90558, 25.97876]","[38.503042, 15.216064]","[42.350524, 2.163974]","[32.737129, -117.150306]","[39.049449, -108.63652]","[40.71455, -74.007118]","[49.8858, -97.132208]","[37.750018, -107.685241]","[45.752519, 21.224308]","[44.703458, 10.630044]","[45.522726, -122.670697]","[50.766865, 0.289077]","[38.70224, -9.165515]","[-40.863679, 174.111328]","[43.77958, 11.238369]","[40.40615, -3.699973]","[59.728001, 17.798967]","[42.537429, 12.619771]","[45.77782, 126.563529]","[43.073772, -89.385017]","[36.90558, 25.97876]","[38.503042, 15.216064]","[42.350524, 2.163974]","[32.737129, -117.150306]","[39.049449, -108.63652]","[40.71455, -74.007118]","[49.8858, -97.132208]","[37.750018, -107.685241]","[45.752519, 21.224308]"
103908913_8ef41889e3_36_11114422@N00.jpg,11114422@N00,51.195697,-2.27992,2,14,201,0.0064192889950369,0.3592531149958944,0.6343275301303848,"[39.983614, 116.304552]","[33.805931, -117.918094]","[40.704606, -73.932988]","[26.426731, -82.062034]","[36.871089, -95.095982]","[45.527516, 25.352325]","[-26.091244, 28.337345]","[38.976809, -120.101466]","[-33.879581, 151.210425]","[44.055626, -1.232163]","[30.902224, 27.421875]","[41.465924, -82.194557]","[36.464505, 25.376787]","[18.365604, 73.75534]","[40.730608, -82.946777]","[-13.002958, -38.458414]","[33.785345, -84.423894]","[54.956772, 37.463035]","[53.542628, 9.932295]","[25.666284, 32.620553]","[39.983614, 116.304552]","[33.805931, -117.918094]","[40.704606, -73.932988]","[26.426731, -82.062034]","[36.871089, -95.095982]","[45.527516, 25.352325]","[-26.091244, 28.337345]","[38.976809, -120.101466]","[-33.879581, 151.210425]","[44.055626, -1.232163]","[30.902224, 27.421875]","[41.465924, -82.194557]","[36.464505, 25.376787]","[18.365604, 73.75534]","[40.730608, -82.946777]","[-13.002958, -38.458414]","[33.785345, -84.423894]","[54.956772, 37.463035]","[53.542628, 9.932295]","[25.666284, 32.620553]"
103910409_51606239db_42_11114422@N00.jpg,11114422@N00,51.195697,-2.27992,2,14,201,0.1575991051876184,0.1342073414220408,0.7081936124445463,"[52.627666, 1.298166]","[43.772822, 11.255611]","[48.141721, 11.582014]","[52.258941, 10.543988]","[48.873233, 2.359643]","[-42.85319, 147.301104]","[51.806969, 9.377946]","[37.332, -121.888999]","[-33.517211, 120.081424]","[41.382862, 2.166752]","[53.343442, -1.984448]","[-30.04116, -51.220149]","[44.456176, 10.774841]","[26.986015, 75.850393]","[18.70739, -68.44551]","[52.006301, 5.465103]","[37.331402, -121.889995]","[60.413852, 6.218261]","[23.216895, 121.294898]","[38.257112, -85.761852]","[52.627666, 1.298166]","[43.772822, 11.255611]","[48.141721, 11.582014]","[52.258941, 10.543988]","[48.873233, 2.359643]","[-42.85319, 147.301104]","[51.806969, 9.377946]","[37.332, -121.888999]","[-33.517211, 120.081424]","[41.382862, 2.166752]","[53.343442, -1.984448]","[-30.04116, -51.220149]","[44.456176, 10.774841]","[26.986015, 75.850393]","[18.70739, -68.44551]","[52.006301, 5.465103]","[37.331402, -121.889995]","[60.413852, 6.218261]","[23.216895, 121.294898]","[38.257112, -85.761852]"
104122769_f122c548dc_40_19355699@N00.jpg,19355699@N00,-16.663606,145.563537,1,8,279,0.1501921757363788,0.6401359734151129,0.2096719350288083,"[59.938848, 30.302352]","[29.532653, -98.280086]","[25.095916, 121.528494]","[51.50632, -0.12714]","[51.461539, -0.13583]","[34.150294, -84.717786]","[51.510159, -0.202178]","[-28.270953, 31.874084]","[54.409689, -1.758327]","[43.652922, -79.380406]","[30.267611, -97.740876]","[5.359075, 117.955226]","[52.933167, 1.297333]","[42.628433, -70.943012]","[39.147833, -84.886833]","[46.698788, 8.729324]","[51.534666, -0.2405]","[36.015834, -114.736897]","[52.52549, 13.401603]","[34.68284, 135.543909]","[59.938848, 30.302352]","[29.532653, -98.280086]","[25.095916, 121.528494]","[51.50632, -0.12714]","[51.461539, -0.13583]","[34.150294, -84.717786]","[51.510159, -0.202178]","[-28.270953, 31.874084]","[54.409689, -1.758327]","[43.652922, -79.380406]","[30.267611, -97.740876]","[5.359075, 117.955226]","[52.933167, 1.297333]","[42.628433, -70.943012]","[39.147833, -84.886833]","[46.698788, 8.729324]","[51.534666, -0.2405]","[36.015834, -114.736897]","[52.52549, 13.401603]","[34.68284, 135.543909]"
1041241079_904c456418_1430_7132415@N03.jpg,7132415@N03,-1.382083,-78.432769,0,5,61,0.9147048476997384,0.0019786858141799,0.0833164657362743,"[45.722959, 6.299457]","[41.479261, -71.335371]","[47.481857, -120.803368]","[51.758758, -3.59435]","[40.278035, -7.509884]","[40.710499, -73.968088]","[38.841796, -7.592362]","[50.655174, 17.927649]","[54.441946, 18.57479]","[43.774068, 11.25]","[38.410839, -122.840457]","[35.661829, 139.73176]","[60.387769, 25.663354]","[40.740666, -73.992167]","[0.219726, -78.662109]","[38.788313, -77.078706]","[37.986168, -1.121549]","[50.797275, 6.109471]","[32.784965, -96.801223]","[-35.254415, 139.455471]","[45.722959, 6.299457]","[41.479261, -71.335371]","[47.481857, -120.803368]","[51.758758, -3.59435]","[40.278035, -7.509884]","[40.710499, -73.968088]","[38.841796, -7.592362]","[50.655174, 17.927649]","[54.441946, 18.57479]","[43.774068, 11.25]","[38.410839, -122.840457]","[35.661829, 139.73176]","[60.387769, 25.663354]","[40.740666, -73.992167]","[0.219726, -78.662109]","[38.788313, -77.078706]","[37.986168, -1.121549]","[50.797275, 6.109471]","[32.784965, -96.801223]","[-35.254415, 139.455471]"
104132709_97b998c989_41_19355699@N00.jpg,19355699@N00,-33.861328,151.209039,2,12,273,0.0006793025029674,0.0304216946003403,0.9688990725317675,"[50.086997, 14.420772]","[41.873395, -87.617189]","[41.049348, -85.158483]","[9.640946, -68.56636]","[27.245167, 33.845787]","[22.29913, 114.171122]","[57.587053, 9.979941]","[35.78036, -5.804729]","[48.824701, 7.40487]","[-22.968137, -43.226909]","[53.546338, -113.514143]","[36.86521, 14.756033]","[-8.517915, 115.259705]","[40.047329, -75.193894]","[48.861044, 2.39386]","[37.553729, 15.099377]","[51.550622, -1.775089]","[37.00077, -122.062911]","[37.177287, -3.589868]","[38.79668, -9.386389]","[50.086997, 14.420772]","[41.873395, -87.617189]","[41.049348, -85.158483]","[9.640946, -68.56636]","[27.245167, 33.845787]","[22.29913, 114.171122]","[57.587053, 9.979941]","[35.78036, -5.804729]","[48.824701, 7.40487]","[-22.968137, -43.226909]","[53.546338, -113.514143]","[36.86521, 14.756033]","[-8.517915, 115.259705]","[40.047329, -75.193894]","[48.861044, 2.39386]","[37.553729, 15.099377]","[51.550622, -1.775089]","[37.00077, -122.062911]","[37.177287, -3.589868]","[38.79668, -9.386389]"
104133298_2619fc0eae_39_19355699@N00.jpg,19355699@N00,-33.861328,151.209039,2,11,242,0.0071494295027036,0.0246408119974148,0.9682098147142142,"[47.523486, 19.061066]","[53.426533, -6.239789]","[51.381531, -2.359136]","[18.883284, -98.985936]","[37.00077, -122.062911]","[48.183142, 16.308174]","[35.78036, -5.804729]","[49.281258, -123.120131]","[44.502807, 11.344842]","[36.86521, 14.756033]","[51.184346, -0.768785]","[36.16221, -86.784782]","[41.873395, -87.617189]","[11.561771, 104.91703]","[44.462593, 11.380419]","[27.245167, 33.845787]","[41.821206, -71.415402]","[-19.903474, -44.105644]","[39.218057, -78.36698]","[42.236929, 1.660158]","[47.523486, 19.061066]","[53.426533, -6.239789]","[51.381531, -2.359136]","[18.883284, -98.985936]","[37.00077, -122.062911]","[48.183142, 16.308174]","[35.78036, -5.804729]","[49.281258, -123.120131]","[44.502807, 11.344842]","[36.86521, 14.756033]","[51.184346, -0.768785]","[36.16221, -86.784782]","[41.873395, -87.617189]","[11.561771, 104.91703]","[44.462593, 11.380419]","[27.245167, 33.845787]","[41.821206, -71.415402]","[-19.903474, -44.105644]","[39.218057, -78.36698]","[42.236929, 1.660158]"
1041333001_9b8e3dc4f1_1284_7132415@N03.jpg,7132415@N03,-0.967437,-77.763977,1,8,279,0.0132697875865943,0.9542540874059569,0.0324760541949444,"[51.766963, 14.322223]","[47.830666, -122.318]","[42.383262, -71.230995]","[52.614644, 13.468594]","[38.889546, -77.039169]","[33.321456, -111.729637]","[52.624597, -4.002885]","[-38.030109, -57.538833]","[34.457583, -114.275417]","[30.702065, 111.279916]","[30.247144, -97.750387]","[55.753974, -4.224028]","[51.142799, -2.72423]","[43.407884, 5.893435]","[41.525423, 2.275189]","[32.697394, -79.961371]","[23.647694, 119.632444]","[51.497282, -0.172498]","[44.955101, -93.279624]","[37.334186, -121.8825]","[51.766963, 14.322223]","[47.830666, -122.318]","[42.383262, -71.230995]","[52.614644, 13.468594]","[38.889546, -77.039169]","[33.321456, -111.729637]","[52.624597, -4.002885]","[-38.030109, -57.538833]","[34.457583, -114.275417]","[30.702065, 111.279916]","[30.247144, -97.750387]","[55.753974, -4.224028]","[51.142799, -2.72423]","[43.407884, 5.893435]","[41.525423, 2.275189]","[32.697394, -79.961371]","[23.647694, 119.632444]","[51.497282, -0.172498]","[44.955101, -93.279624]","[37.334186, -121.8825]"
104134249_80c92294db_19_19355699@N00.jpg,19355699@N00,-33.861328,151.209039,2,10,66,0.0003826378782036,0.0805042477630593,0.9191131473386064,"[48.861404, 2.334358]","[50.153842, 7.713768]","[40.731697, -73.989551]","[46.522338, 6.630957]","[43.687999, -79.394473]","[39.419013, -78.259509]","[48.775876, -121.812629]","[38.477597, 22.450904]","[37.789734, -122.390066]","[42.378582, -71.12346]","[51.530185, -0.004892]","[48.861044, 2.39386]","[41.166294, -122.323412]","[43.312079, -81.754353]","[43.64507, -79.413943]","[-33.996616, 150.874252]","[41.829758, -71.388169]","[9.646869, -68.587646]","[52.913094, -1.234545]","[37.871749, 32.505165]","[48.861404, 2.334358]","[50.153842, 7.713768]","[40.731697, -73.989551]","[46.522338, 6.630957]","[43.687999, -79.394473]","[39.419013, -78.259509]","[48.775876, -121.812629]","[38.477597, 22.450904]","[37.789734, -122.390066]","[42.378582, -71.12346]","[51.530185, -0.004892]","[48.861044, 2.39386]","[41.166294, -122.323412]","[43.312079, -81.754353]","[43.64507, -79.413943]","[-33.996616, 150.874252]","[41.829758, -71.388169]","[9.646869, -68.587646]","[52.913094, -1.234545]","[37.871749, 32.505165]"
104134428_244b67a2d9_38_19355699@N00.jpg,19355699@N00,-33.861328,151.209039,2,13,103,0.0003988300688756,0.0021046347242439,0.9974965197619592,"[34.112444, -118.91962]","[40.742217, -81.881232]","[34.154817, -118.307347]","[52.2486, 21.014013]","[50.924915, -0.184278]","[47.595293, -122.331733]","[10.566797, -61.448593]","[50.862277, -1.572396]","[51.5825, 4.981667]","[37.791333, -122.4235]","[41.891543, 12.500038]","[36.071572, -79.792692]","[21.396659, -157.738952]","[45.708097, 11.480712]","[26.912656, 70.914022]","[43.564078, -79.673184]","[43.487521, -70.385155]","[51.550017, -0.169258]","[43.470113, -3.763332]","[38.797393, -9.390971]","[34.112444, -118.91962]","[40.742217, -81.881232]","[34.154817, -118.307347]","[52.2486, 21.014013]","[50.924915, -0.184278]","[47.595293, -122.331733]","[10.566797, -61.448593]","[50.862277, -1.572396]","[51.5825, 4.981667]","[37.791333, -122.4235]","[41.891543, 12.500038]","[36.071572, -79.792692]","[21.396659, -157.738952]","[45.708097, 11.480712]","[26.912656, 70.914022]","[43.564078, -79.673184]","[43.487521, -70.385155]","[51.550017, -0.169258]","[43.470113, -3.763332]","[38.797393, -9.390971]"
104134591_85c54effac_41_19355699@N00.jpg,19355699@N00,-33.861328,151.209039,2,15,307,0.0002058314594819,0.0004813123193763,0.9993128690721136,"[10.566797, -61.448593]","[21.396659, -157.738952]","[34.154817, -118.307347]","[47.595293, -122.331733]","[52.2486, 21.014013]","[35.672798, 139.767149]","[43.564078, -79.673184]","[50.862277, -1.572396]","[37.791333, -122.4235]","[47.409888, 8.522656]","[40.742217, -81.881232]","[10.782286, 106.694072]","[43.279267, 5.396347]","[50.924915, -0.184278]","[46.259666, -74.501917]","[48.208174, 16.373818]","[49.845731, -99.969041]","[-41.124107, 174.946117]","[43.470113, -3.763332]","[50.112041, 8.68342]","[10.566797, -61.448593]","[21.396659, -157.738952]","[34.154817, -118.307347]","[47.595293, -122.331733]","[52.2486, 21.014013]","[35.672798, 139.767149]","[43.564078, -79.673184]","[50.862277, -1.572396]","[37.791333, -122.4235]","[47.409888, 8.522656]","[40.742217, -81.881232]","[10.782286, 106.694072]","[43.279267, 5.396347]","[50.924915, -0.184278]","[46.259666, -74.501917]","[48.208174, 16.373818]","[49.845731, -99.969041]","[-41.124107, 174.946117]","[43.470113, -3.763332]","[50.112041, 8.68342]"
104138228_eac9608bce_34_19355699@N00.jpg,19355699@N00,-36.843876,174.7654,1,6,187,0.0011485565994231,0.9270810566873208,0.0717703523211241,"[44.663288, -63.609402]","[32.62087, 102.150878]","[38.749799, -9.162597]","[48.422736, -123.369534]","[-21.070724, 55.513229]","[63.213829, -151.226806]","[51.560684, -0.398726]","[37.707403, -85.597078]","[51.420968, -0.350532]","[44.626228, 10.279229]","[53.749395, 14.059281]","[37.830658, -122.481209]","[51.505837, -0.11689]","[36.974685, -122.025544]","[51.537788, -0.144931]","[31.658276, -5.840992]","[42.08197, 9.06227]","[42.345833, -71.082334]","[48.423839, -123.365547]","[42.377777, -71.091389]","[44.663288, -63.609402]","[32.62087, 102.150878]","[38.749799, -9.162597]","[48.422736, -123.369534]","[-21.070724, 55.513229]","[63.213829, -151.226806]","[51.560684, -0.398726]","[37.707403, -85.597078]","[51.420968, -0.350532]","[44.626228, 10.279229]","[53.749395, 14.059281]","[37.830658, -122.481209]","[51.505837, -0.11689]","[36.974685, -122.025544]","[51.537788, -0.144931]","[31.658276, -5.840992]","[42.08197, 9.06227]","[42.345833, -71.082334]","[48.423839, -123.365547]","[42.377777, -71.091389]"
104146945_2722f724b3_19_14542551@N00.jpg,14542551@N00,47.913695,106.833114,2,10,257,0.0013823416149207,0.0213950089663743,0.977222667124554,"[-31.899977, -71.490515]","[-41.134257, -71.57936]","[48.423323, -123.467391]","[42.063862, -80.088272]","[53.545611, 10.021591]","[41.211608, -96.08436]","[37.435654, -122.055337]","[51.343216, 4.314343]","[51.190883, 0.273747]","[51.260948, 6.742086]","[-3.247723, 35.518712]","[38.568032, -7.909984]","[35.003565, 135.764751]","[37.182202, -3.617248]","[45.566722, 5.920901]","[44.460975, -110.830687]","[40.583722, -74.614602]","[51.473671, -0.036381]","[52.366114, 4.896587]","[39.291839, -76.63829]","[-31.899977, -71.490515]","[-41.134257, -71.57936]","[48.423323, -123.467391]","[42.063862, -80.088272]","[53.545611, 10.021591]","[41.211608, -96.08436]","[37.435654, -122.055337]","[51.343216, 4.314343]","[51.190883, 0.273747]","[51.260948, 6.742086]","[-3.247723, 35.518712]","[38.568032, -7.909984]","[35.003565, 135.764751]","[37.182202, -3.617248]","[45.566722, 5.920901]","[44.460975, -110.830687]","[40.583722, -74.614602]","[51.473671, -0.036381]","[52.366114, 4.896587]","[39.291839, -76.63829]"
1044041591_512737f6a3_1182_9729483@N02.jpg,9729483@N02,39.948972,-75.150008,0,5,196,0.9763699048670218,0.0001929513117593,0.0234371840795497,"[42.231504, 1.567268]","[-33.579101, 151.30905]","[44.364973, 15.183105]","[43.992883, -102.241494]","[49.223188, 2.415225]","[49.977997, 6.636772]","[44.145353, 9.653549]","[42.228708, -88.527832]","[34.986636, 135.760808]","[37.7853, -122.415032]","[40.756847, -73.982234]","[23.134618, -82.370123]","[63.367254, 9.700155]","[33.074857, -112.179851]","[41.522459, -74.238052]","[28.730334, 118.777999]","[41.570745, -87.462553]","[37.621561, -105.555881]","[64.1497, -21.939868]","[41.901478, 12.537288]","[42.231504, 1.567268]","[-33.579101, 151.30905]","[44.364973, 15.183105]","[43.992883, -102.241494]","[49.223188, 2.415225]","[49.977997, 6.636772]","[44.145353, 9.653549]","[42.228708, -88.527832]","[34.986636, 135.760808]","[37.7853, -122.415032]","[40.756847, -73.982234]","[23.134618, -82.370123]","[63.367254, 9.700155]","[33.074857, -112.179851]","[41.522459, -74.238052]","[28.730334, 118.777999]","[41.570745, -87.462553]","[37.621561, -105.555881]","[64.1497, -21.939868]","[41.901478, 12.537288]"
104419192_8551684362_41_64825499@N00.jpg,64825499@N00,51.508168,-0.076035,2,11,10,0.2764085231827469,0.3100314109584285,0.4135600399510206,"[52.318199, 9.798259]","[38.419925, -82.448791]","[34.885906, 136.999863]","[43.748033, 7.397918]","[42.424335, -82.899848]","[43.649988, -79.450378]","[59.160179, -2.936353]","[22.363461, 114.012562]","[45.403964, -75.744252]","[34.063378, -118.355669]","[46.938659, 8.9542]","[44.527204, 10.869426]","[64.130982, 28.380775]","[49.267692, 19.951601]","[42.057502, -70.178368]","[35.087953, -106.61651]","[43.663262, -79.383891]","[42.880017, -8.544166]","[37.787339, -122.40971]","[42.350524, 2.163974]","[52.318199, 9.798259]","[38.419925, -82.448791]","[34.885906, 136.999863]","[43.748033, 7.397918]","[42.424335, -82.899848]","[43.649988, -79.450378]","[59.160179, -2.936353]","[22.363461, 114.012562]","[45.403964, -75.744252]","[34.063378, -118.355669]","[46.938659, 8.9542]","[44.527204, 10.869426]","[64.130982, 28.380775]","[49.267692, 19.951601]","[42.057502, -70.178368]","[35.087953, -106.61651]","[43.663262, -79.383891]","[42.880017, -8.544166]","[37.787339, -122.40971]","[42.350524, 2.163974]"
104419793_26fe6ba2a3_39_64825499@N00.jpg,64825499@N00,51.508168,-0.076035,0,1,129,0.9916820226908882,0.0001646387306593,0.0081534477818614,"[51.899376, -2.079162]","[34.280788, -116.911781]","[54.175748, 7.892968]","[33.992049, -87.486877]","[25.778715, -80.394058]","[51.51335, -0.13057]","[52.519001, 13.4754]","[1.502208, 110.368652]","[-23.180221, -45.888057]","[53.79995, -1.549994]","[55.144655, 12.012155]","[48.848973, 2.378239]","[30.284326, -97.731928]","[54.234883, -1.338167]","[7.81923, 98.300814]","[59.441508, 24.747676]","[-3.739153, -73.240807]","[-26.917631, -49.068374]","[36.169719, 54.318973]","[49.032578, 5.885581]","[51.899376, -2.079162]","[34.280788, -116.911781]","[54.175748, 7.892968]","[33.992049, -87.486877]","[25.778715, -80.394058]","[51.51335, -0.13057]","[52.519001, 13.4754]","[1.502208, 110.368652]","[-23.180221, -45.888057]","[53.79995, -1.549994]","[55.144655, 12.012155]","[48.848973, 2.378239]","[30.284326, -97.731928]","[54.234883, -1.338167]","[7.81923, 98.300814]","[59.441508, 24.747676]","[-3.739153, -73.240807]","[-26.917631, -49.068374]","[36.169719, 54.318973]","[49.032578, 5.885581]"
1051458737_dc88781e19_1257_50435419@N00.jpg,50435419@N00,46.547586,-87.378902,1,8,141,9.9375230818044e-05,0.913303032383098,0.0865976303958735,"[39.7695, -104.977167]","[22.299858, 114.172715]","[40.79011, -73.974112]","[50.912125, 0.975723]","[-27.462428, 153.034594]","[39.606651, -110.802398]","[45.589776, -122.716555]","[42.312132, -85.36025]","[35.672463, 139.794716]","[56.284534, -120.741291]","[46.204963, -1.367921]","[13.038258, 80.280554]","[1.290355, 103.862289]","[40.841638, 14.254674]","[-37.550497, 143.782839]","[41.382524, 2.166774]","[-42.911051, -71.322898]","[29.309088, -94.79322]","[-37.725107, 145.568847]","[45.9431, 13.618975]","[39.7695, -104.977167]","[22.299858, 114.172715]","[40.79011, -73.974112]","[50.912125, 0.975723]","[-27.462428, 153.034594]","[39.606651, -110.802398]","[45.589776, -122.716555]","[42.312132, -85.36025]","[35.672463, 139.794716]","[56.284534, -120.741291]","[46.204963, -1.367921]","[13.038258, 80.280554]","[1.290355, 103.862289]","[40.841638, 14.254674]","[-37.550497, 143.782839]","[41.382524, 2.166774]","[-42.911051, -71.322898]","[29.309088, -94.79322]","[-37.725107, 145.568847]","[45.9431, 13.618975]"
